یہودیو,yahodiyo
چنائیاں,chunayyan
چکیہے,chakeehay
لکھتے,likhtay
چکیکہ,chakeekah
چکھنی,chakhni
چکھائے,chakhaye
چکاوہ,chakawah
چکاہوتا,chuka hota
چڑھاؤں,charhaoun
چڑائے,chahanay
چرتر,chartar
چپیٹ,chapait
چپٹانے,chaptanay
عاقبت,aaqbat
جیوگے,jiogay
جوگیوں,jogiuon
شامیانے,shamyanay
جوبے,jobay
جہنمکر,jahan kar
رخسارہ,rukhsar
اطراف,atraf
جھنجلایا,jhanjhlaya
جھگڑو,jhagro
جھگڑتی,jhagarti
جھڑکو,jharko
جھڑکا,jharka
گھبرائے,ghabraye
جھٹلائے,jhutlaye
جھاڑتا,jharta
کہانیاںکر,kahanian kar
جنتیوں,jannatyon
جمعکر,jumma kar
فرمانبرداریں,farmabardarain
جداکر,judakr
جایں,jaen
جاؤ,jao
جاہلو,jahilo
جانچیں,janchain
جاملنے,jamlny
عمدہ,umdah
جادوکر,jadoo kar
جائیںتو,jaayento
دلاتی,dilati
جٕلائے,jilaye
ٹیٹوں,titon
ٹھیککر,theek kr
ٹھیرائیں,thairaen
ٹھونکا,thonka
ٹھہرسکیں,thair sakain
ٹھہرچکا,thahr chuka
ٹھہرالیے,thahra liye
ٹھہرالو,thahra lo
ٹھہراؤں,thahraoun
ٹھٹھا,thatha
ٹمہیں,tamhain
ٹلوں,tilon
ذمہٴ,zimmah
ٹکڑیاں,tukriyan
ٹکائی,tikaiye
ثابتہو,sabit ho
تولیں,toolain
توبے,toobay
توبہکر,tu bah kar
تھوہڑ,thohar
تھوہر,thohar
تھوڑوں,thohroon
تھلکی,thalki
تھرتھرائیں,thar tharayen
تھرتھرا,tharthara
تھرائے,tharaye
تھپکا,thapka
تھالے,thalay
تمہارہ,tumhara
تقصیروں,tafseeron
تشبیہیں,tashbeehain
تڑاتے,taratay
ترشواتے,tarshwatay
ترازوئیں,tarazoain
تپنا,tapna
تپایا,tapaya
تپائے,tapaye
تباہکر,tabahkar
لہراتا,lahrata
قطعی,qataei
پیغمبرو,paigambaro
پیشوائیہو,paishwayo
پیریں,peerain
پیروؤں,peeron
پیٹھیں,peethain
پیاریاں,pyaaryan
پیادوں,pyadoon
پیئو,piyo
پوریہو,poryoh
پوریکر,porikar
پوربوں,poorbon
پوراہو,pooraho
پوجے,poojay
پُوجو,poojo
قارون,qaroon
ساقیں,saqain
اوندھا,ondha
پہونچائی,pohnchai
پہنچانتے,pahchantay
پہنچادینا,pohnchadena
پہناؤ,pehnao
منزل,manzil
پھیرلیتے,phairlaitay
پھیرلو,phairlo
پھیردیں,phairdain
پھیردیتے,phairdaitay
پھیردیتا,phairdeta
پھیردوں,phairdoon
پھونکتی,phonkti
پھلواریوں,pehalwarion
پھک,pehak
عقیدہ,aqeedah
پھرتمہیں,phir tmhain
پھراکی,phraki
بَری,bari
پھپیوں,phupiyon
لقمان,luqman
پلیدی,palidi
پلواؤ,pilwao
پلٹیں,paltain
جرأٔت,jurrat
پردہکر,prdah kr
پرٹھہر,pr thair
پچھیت,pcheet
پچھموں,pchahmon
پچتاتا,pachtata
پچتا,pachta
پتھراؤکر,pathrao kar
پاےٴ,paye
صادر,saadir
پاکیزہکر,pakeezah kr
پاشکر,paashkr
بیونتے,bewantay
بیہودگیوں,behodgiyon
بیکسی,baykisi
بیشکبے,bayshak bay
بیریوں,bairyon
بیبیوں,bibion
پردگی,pardagi
بیبیں,bibin
بیاہیاں,biyahyan
بیانکر,bayan kar
جنھیں,jinhain
بوجھہو,bojho
بوٹیکر,booti kr
بہنائے,bahnaye
مجرمو,mujrimon
بہکاویں,behkawain
بہکادیں,behkadain
بہکادوں,behkadon
بہشتیوں,behashtiyon
بہتیرے,beh teray
بہتیروں,behteeroon
بہادی,bahadi
ٹوُٹا,toota
بھلاوے,behlaway
بھگائی,bhgayi
بھگاؤ,bhagao
بھڑا,bhara
بھٹکتی,bhatakti
بھبھوکا,bhabhoka
بندھائے,bandhaye
بناوٹیں,banwatain
بناوٹوں,banawatoon
جھاؤ,jhao
بقوت,baqoot
بفرض,ba farz
بڑھتنا,barhatna
بڑاعذاب,bara azab
حُجتیں,huj jatain
برتوانا,baratwana
برتو,barto
برتاوا,bartawa
بدکنا,bdkna
رحمٰن,rehman
جانچا,jancha
بدعہدیوں,bad ahdiyoun
بچہہو,bach ho
بچھونوں,bichonon
گناہگار,ginahgar
بچلو,bachlo
بجار,bajar
بتایئے,bataye
ببری,bbri
بایں,bayen
باندیوں,bandiyon
بامراد,ba murad
سوچو,soocho
باریاب,baryab
چاہ,chaah
آفتابے,aftabay
انکا,inka
آسُودوں,asodon
آسمانکر,asmankar
آتیاں,atyan
آپڑے,aparay
آپڑا,apara
آئتیں,ayatain
ایڑیوں,aeriyon
ایذائیں,ezayen
اوندھایا,ondhaya
اوندھاکر,ondhakar
اوندھائے,ondhaye
اورضرور,or zaror
اوترا,otra
اہلے,ahlay
انھیںکر,unhain kr
انکھیارے,ankh yaray
انکھیارا,ankh yara
امتیں,umatain
امتکر,ummat kr
المنتہیٰ,almuntahi
المص,alif laam meem suad
الماویٰ,الماوی
الکفل,الکفل
السجدة,السجدة
خط,khat
البال,البال
کھلائیں,khilaen
اگاتا,ugata
اکتاتے,uktatay
اکتاتا,uktata
افتراؤں,aftaraon
اعرابی,aerabi
اطلاعکر,itlae kar
استواء,istawa
جادوگروں,jadoogar
اختلافوں,ikhtilafoon
احقاف,ahqaaf
اچنبے,achanbay
اچنبا,achanba
اترونا,atrona
اتاردی,utardi
ابہو,abho
زیادتیاں,zyadtyan
ذوالنون,Zulnun
ظلم,zulm
ذوالکفل,zulkaffal
زلیخا,zulekha
زبانیں,zubanain
زور,zor
زوں,zoo
ذوالقرنین,zol qarnain
ذو,zo
زلز,zlz
زکوٰة,zkoة
زیارت,ziyarat
زیادہ,ziyada
زندوں,zindon
زندہ,zindah
زندگی,zindagi
زندگانی,zindagani
زنا,zina
ذمہ,zimma
ذلت,zillat
زکریا,zikria
ذکر,zikar
ضد,zid
ذبح,zibah
زیور,zewar
زنگ,zeng
زیست,zeist
زینت,zeenat
زینہ,zeena
ذی,Zee
ذبیحہ,zbih_h
پارہ,zayega
زائد,zayed
زیاں,zayan
زیادتیوں,zayadtio
زیادتی,zayad-ti
ضائع,zaya
ذرے,zarray
ضرر,zarrar
ضَرر,zarrar
ذرہ,zarra
ضروریات,zaroriat
درست,zaroori
ضرورت,zaroorat
ضرور,zaroor
ذریعہ,zareya
سبک,zard
ضرب,zarb
ذرا,zara
تانبے,zar
زنجیروں,zanjeeroon
زنجیریں,zanjeeren
زنجیر,zanjeer
ضامن,zamin
زمینوں,zamiinon
زمینیں,zameenen
زمین,zameen
زمانے,zamane
زمانہ,zamana
زلزلے,zalzalay
زلزلہ,zalzala
ظالم,zalim
ذلیل,zaleel
زخمی,zakhmi
زخموں,zakhamo
زخم,zakham
زیتون,Zaitoon
تیاری,zair
تقدیر,Zaid
زیبا,zaiba
ظاہرکر,zahrkr
ظاہری,zahiri
ظاہرہو,zahirho
ظاہر,zahir
زائل,zael
ضعیفوں,zaeefon
زدہ,zada
زبور,Zaboor
زبردستی,zabardasti
زبردست,zabardast
زبانوں,zabanon
زبانی,zabani
زبان,zabaan
ذاتی,zaati
پچاس,zaat
زاری,zaari
زانو,zaano
ظالموں,zaalmon
زاد,zaad
ظا,za
یوں,yun
یونہی,yuhin
یوسف,Yousuf
یونس,Younis
ئیں,yin
یہ,yeh
يہ,yeh
ئے,ye
یتیموں,yatimon
یتیم,yateem
یسع,yassa
یارانہ,yarana
یاقوت,Yaqoot
یعقوب,Yaqoob
یقینکر,yaqeenkar
یقیناً,yaqeenan
یقین,yaqeen
یعوق,Yaook
یعنی,yani
یکساں,yaksaa
یکون,yakoon
ة,yakeeni
یک,yak
یاجوج,yajooj
یحیی,Yahya
یہودیوں,yahudion
یہود,yahood
یہودی,yahodi
یہیں,yahin
یہی,yahi
یہاں,yahan
یغوث,Yaghus
یادگار,yadgar
یابی,yabi
اِترا,yab
بھاگنا,yaas
یاری,yaari
یار,yaar
یاد,yaad
یا,ya
باقیوں,y ?
وسعت,wusat
وہی,wohi
وہ,woh
وه,woh
ودّ,With
ولادت,wiladat
وائے,why
ویران,weraan
وحشی,wehshi
ویرانی,weerani
واضح,wazeh
وزیر,wazeer
وزن,wazan
پوجتی,waza
وے,way
وطن,watan
وسوسوں,waswason
وسوسہ,waswasa
واسطے,wastay
وصیت,wasiyat
وصف,Wasf
وسیلہ,waseela
وسیع,wasee
وسوسے,was wasay
ورنہ,warna
وارث,waris
وقت,waqt
وقوفی,waqoofi
وقوف,waqoof
وقفہ,waqfa
واقعہ,waqea
واقع,waqay
وکالت,waqalat
سنوار,waqai
واپسی,wapsi
واپس,wapas
ونکا,wanka
ولیوں,walyoon
والِیو,walyeo
والیو,walyeo
والوں,walon
والو,walo
والیاں,waliyan
والیوں,walion
ولی,walii
والی,wali
والے,walay
والا,wala
واجب,wajib
وجہ,wajah
ویسی,waisi
ویسے,waisay
ویسا,waisa
وحی,wahi
وہیں,wahein
وہاں,wahan
وغیرہ,waghera
کمینے,wafaat
فریبی,wafa
وادیوں,wadiyon
وعدے,waday
وعدہ,wada
وبال,wabaal
وار,waar
وارِ,waar
وافر,waafar
وادی,waadi
وصیلہ,vaseela
عزیر,Uzair
اترو,uttro
اٹھے,utthay
اترنے,utrney
اتری,utri
اترے,utre
اتریں,utrain
اٹھتے,uthte
اٹھنے,uthnay
اٹھنا,uthna
اٹھی,uthi
اٹھیں,utheen
اٹھائیں,uthayen
اٹھائے,uthaye
اٹھایا,uthaya
اٹھاتے,uthatay
اٹھاتا,uthata
اٹھانے,uthany
اٹھانا,uthana
اٹھائی,uthai
اٹھاتی,uthaati
اٹھان,uthaaen
اٹھا,utha
اٹھ,uth
اتروا,utarwa
اترتی,utarti
اترتے,utartay
اترتا,utartaa
اتارتا,utarta
اتارو,utaro
اتاری,utari
اتاریں,utarain
اتر,utar
اتارتے,utaartay
اتارنے,utaarnay
ابتدا,utaarna
اتارے,utaarey
اتارا,utaara
اتار,utaar
چھوؤ,ustaadi
اسلوب,usloob
اسکی,uski
اسکے,uskay
اسکا,uska
اسے,usay
اڑتا,urta
اڑنے,urrnay
اڑ,urr
اَڑ,urr
عروج,urooj
اڑاتی,urati
اڑاتے,uratay
اڑانے,urane
اڑا,ura
انکی,unki
انکے,unkay
انجانی,unjani
انہوں,unhon
انھوں,unhon
انہی,unhi
انھیں,unhein
انگلیاں,ungelian
انڈیل,undail
ان,un
امت,ummat
امیدوار,umeed waar
امید,umeed
آمنا,umdah
عمر,Umar
الٹی,ulti
الٹے,ultay
الٹا,ulta
الجھن,uljan
الفت,ulfat
الٹنے,ulatnay
الٹ,ulat
اجڑنا,ujrna
اجرت,ujrat
اجالے,ujalay
اجالا,ujala
اگتا,ugta
اُگنے,ugnay
اگنے,ugnay
اگلوں,uglo
اگائے,ugaye
اُگائے,ugaye
چھوٹنا,ugaya
اُگے,ugay
اگائی,ugai
اُگا,uga
اُف,uff
اُدھر,udhar
اچھلتے,uchaltay
اچک,uchak
اُچک,uchak
ابلے,ublay
ابھری,ubhri
ابھرے,ubhray
ابھر,ubhar
ابھار,ubhaar
ابلتے,ubaltay
ابل,ubal
طواف,tuwaf
ترش,tursh
طرہ,turah
تند,tund
تمھیں,tumhen
تمہیں,tumhe
تمہاری,tumhari
تمھارے,tumhare
تمہارا,tumhara
تمہارے,tumahray
تمھارا,tumahra
تم,tum
تولو,tulo
ٹکڑے,tukre
شرماتا,tuko
ٹکڑا,tukda
تکے,tukay
تجھی,tujhi
تجھے,tujhe
تجھ,tujh
طوفان,tufaan
تری,tri
تڑکے,trhke
ترازو,traazo
توقیر,touqeer
توشہ,tosha
توڑتے,torte
توڑو,torro
ناتوانی,torrey
توڑنے,tornay
توڑی,tori
توڑیں,toreen
توریت,torait
توڑا,tora
طور,tor
ٹوپ,top
ٹوٹے,tootay
ٹوٹا,toota
لاحق,toota
خاطرداریہو,toot
تونگر,toongar
تولنے,tolnay
طول,tole
تہمت,tohmat
اجلاس,tohfa
توفیق,tofeq
توڑ,toar
تول,toal
ٹوک,toak
تو,to
توُ,to
ٹھوڑیوں,tlta
تِل,tِl
تختیوں,tkhtyon
تختیاں,tkhtyan
تکبیر,tkbir
ٹیڑھے,tirhhe
تنکا,tinka
تلاوت,tilawat
تکان,tijarat
ٹڈی,tiddi
ٹھٹر,thtr
ٹھٹھ,thth
تھرتھرانے,thrthrane
فرستادے,thoriu
تھوڑی,thori
ٹھوڑی,thorhee
تھوڑے,thoray
تھوڑا,thora
تھوپ,thop
تھوتھنی,thoothni
ٹھونس,thoons
تھکیں,thkin
جھنجھوڑے,thitak
ٹھکانوں,thikanon
ٹھکانا,thikana
ٹھکانہ,thikana
ٹھکانے,thikaane
تھی,thi
تھیلی,theli
ٹھہرو,thehro
ٹھہرائے,thehraye
ٹھہرایا,thehraya
ٹھہرے,thehray
ٹھہراؤ,thehrao
ٹھہرانے,thehranay
ٹھہرا,thehra
ٹھہر,thehr
ٹھہرنے,theharnay
ٹھہرنا,theharna
تھیں,theen
ٹھیکری,theekri
ٹھیک,theek
ِ,thayeria
تھے,thay
ٹھٹھے,thathay
ٹھہریں,thareen
تھرتھرانا,thar-tharane
تھر,thar
ٹھنڈی,thandhi
ٹھنڈک,thandak
ٹھنڈا,thanda
تھامی,thamne
تھما,thama
تھم,tham
تھکی,thaki
تھکانے,thakanay
تھکا,thaka
تھک,thak
ٹھیس,thais
ٹھیرالو,thairalo
ٹھہری,thahri
تحاشا,thaasha
تھان,thaan
تھامتے,thaamte
تھامے,thaamay
تھام,thaam
تھال,thaal
تھا,tha
ٹھہرتے,th_hrte
ٹھہرائیں,th_hrayin
ٹھہرائی,th_hrayi
ٹھہراتے,th_hrate
ٹھہراتا,th_hrata
تیری,teri
طرح,terhan
ٹیڑھا,terha
تیرا,tera
تیوری,teori
ٹینٹ,tent
تحصیل,tehseel
تحریر,tehreer
تحقیق,tehqeeq
پھنسے,tehni
تہہ,teh
تہ,teh
تیسری,teesri
بدکتے,teesray
تیسرا,teesra
تیس,tees
تیر,teer
تین,teen
ٹیلہ,teela
ٹیڑھی,tedhi
تے,te
تبدیلیں,tbdilin
تبع,tba
تذکرہ,tazkara
تازی,tazi
تعظیم,tazeem
تیاریاں,tayyariyan
تیار,tayyar
ابھارتی,tayari
تیمم,tayamum
طے,tay
تاوان,tawwan
طویٰ,tawee
تواضع,tawaza
توقع,tawaqqa
توکل,tawakkal
توجہ,tawajah
توبہ,tauba
لنگردار,taswerain
تصویر,tasweer
تسنیم,Tasneem
تسکین,taskeen
تشریف,tashreef
تصدیق,tasdeeq
تسبیح,tasbeeh
تارے,tarre
تاروں,taron
ترو,taro
ترکیب,tarkeeb
ترکہ,tarka
ترجیح,tarjeeh
ترغیب,targheeb
تاریکی,tareqi
طریقے,tareeqay
طریقہ,tareeqa
تعریف,tareef
تراشتے,tarashtain
تراشوں,tarashoon
ترس,taras
ترقی,taraqqi
ترائی,tarai
طرف,taraf
تراشنے,taraashney
تراش,taraash
تارا,tara
تر,tar
تقویٰ,taqwa
پوج,taqub
تقصیر,taqseer
تقسیم,taqseem
تکبر,taqqabur
ف۱۰٤,taqdeer
تقاضا,taqaza
طوق,taoq
تنور,tanoor
تنگی,tangi
تنگدست,tangdast
تنگ,tang
تانے,tane
تندرستی,tandrusti
تندرست,tandrost
کتی,tanbay
تانبہ,tanbah
تنے,tanay
طعنہ,tana
تامل,tamil
تمیز,tameez
گیاس,tamaskhur
تماشا,tamasha
تمنا,tamanna
تمام,tamam
طمع,tama
ٹالتے,talte
ٹالتا,talta
طالوت,Taloot
ٹالنے,talnay
ٹلنے,talnay
تعلق,talluq
تلخ,talkh
تعلی,tali
تلے,taley
تعلیم,taleem
تلاشی,talashi
طلاق,Talaq
طلائی,talai
طلبی,talabi
طلب,talabb
تلاش,talaash
ٹل,tal
تکذیب,takzeeb
تکتے,taktey
تکتا,taktaa
ٹکرا,takra
تکلیف,takleef
تکا,takka
تکیہ,takiya
تختوں,takhton
تختے,takhtay
تخمینے,takhminay
تخفیف,takhfeef
تخت,takhat
تاکیدی,takeedi
تاکید,takeed
چلاتے,takan
تک,tak
تجویز,tajweez
تجمل,Tajammal
تیز,taiz
تیسا,taisa
تیرتی,tairti
تیرے,tairay
تعینات,tainaat
تیل,tail
تائب,Taib
تحمل,tahammul
تہائی,tahai
گچھ,taghaful
تاگے,tagay
تفصیل,tafseel
تفرقہ,tafarruqa
تف,taf
تدبیریں,tadbeerye
تدبیر,tadbeer
طبقہ,tabqa
تابوت,taboot
تعبیر,tabeer
تابعداری,tabedari
تبدیلیوں,tabdeelion
تابع,tabay
تباہی,tabahi
تباہ,tabah
چوکنے,tab
تازگی,taazgee
تازہ,taaza
تاراج,taaraaj
تار,taar
برسکر,taaqatwar
طاقت,taaqat
طاق,taaq
گاؤں,taanay
تعمیر,taamer
ٹالا,taalla
ٹال,taall
تالی,taali
تعالیٰ,taala
تاکہ,taakay
تاک,taak
تعجب,taajjub
طعن,ta'an
تہجد,t_hjd
سواریاں,swaryan
ستھری,suthree
ستھرے,suthray
ستھرا,suthra
سستی,susti
سست,sust
سروں,suron
تجارت,surkh
سورتیں,suraten
سرنگ,surang
سراغ,suraagh
سپرد,supurd
سوؤ,suo
سنتے,suntay
سنو,suno
چچا,sunna
تاپو,suni
سننے,suneney
سنیں,sunen
سنائے,sunaye
سنایا,sunaya
سنے,sunay
سناتا,sunataa
سناؤں,sunaoun
سنانے,sunanay
سنانا,sunana
سنائی,sunai
سنائیں,sunaein
سناتے,sunaate
سناؤ,sunaaoo
سنا,suna
ہوا,sun-hwa
سن,sun
سلوک,sulooq
سولی,suli
سُولی,suli
سلگائے,sulghaye
سلیمان,Sulaiman
صلح,sulah
سکونت,sukoonat
سوجھتا,sujhta
نفیس,subk
صبح,subah
ستھرائی,sthrayi
سٹھ,sth
گاہ,srgrdan
سرغنوں,srghnon
سردست,srdst
سراہتی,srahti
سراہنے,srahne
سویا,soya
سوتیلا,soutela
سورت,sourat
سوتے,sotay
سورة,sorة
سوراخ,sorakh
سوت,soot
صورتیں,soorten
صورتوں,sooraton
صورت,soorat
سورج,Sooraj
سور,soor
صور,soor
سوکھی,sookhi
سوکھا,sookha
سوکھ,sookh
سوجھا,soojha
ساختہ,soojh
سود,sood
سوچے,soochey
سُو,soo
سونے,sonay
سُونے,sonay
سناتی,sonaati
سونا,sona
سوکھے,sokhey
سوئی,soi
صحبت,sohbat
سوداگری,sodagari
سودا,soda
سوچی,sochye
سوچتے,sochte
پہل,socho
سوچنے,sochnay
سوچیں,sochen
سوچا,socha
سوچ,soch
سو,so
سنیئے,sniye
سنادیا,snadya
سم,sm
صِلہ,sِlh
سجدے,sjday
سیاہی,siyahi
سیاہ,siyah
سوائے,siwaye
سوا,siwa
ستاروں,sitaron
ستارہ,sitara
ستم,sitam
صرف,sirf
سرے,siray
سر,sir
سپاہیوں,sipahiyon
سنگھار,singhar
یاب,singaar
سمت,simt
سمٹ,simat
ف۱۲۳,silsila
صلہ,sila
سکھائے,sikhayiye
سکھائی,sikhayi
سکھایا,sikhaya
سکھاتے,sikhate
سکھا,sikha
سجین,Sijeen
سہار,sihar
صفت,sift
سفارشی,sifarshi
سفارش,sifarish
سدرہ,sidra
سی,si
ڈھانک,shye
شروع,shuru
شمار,shumaar
شکر,shukar
شغل,shugal
شبہہ,shubah
شبہ,shuba
شعلے,sholay
شعلہ,shola
شعیب,Shoiab
شوہروں,shoharon
شوہر,shohar
شرک,shirk
شکرا,shikra
شکایت,shikayat
شکاری,shikari
شکار,shikaar
باری,shigoofa
